homeId,awayId,homeScore,awayScore,matchResults,matchAction,gameStartTime
352,1019,0,0,FORFEIT,DISABLED,2022-07-01T03:00:00.000+00:00
1019,1533,0,0,FORFEIT,DISABLED,2022-06-30T19:00:00.000+00:00
1019,1079,0,0,FORFEIT,DISABLED,2022-06-30T03:00:00.000+00:00
1019,817,0,0,FORFEIT,DISABLED,2022-06-29T19:00:00.000+00:00
502,1019,79,68,LOSS,GAME SUMMARY,2022-06-29T03:00:00.000+00:00
1140,1019,73,69,LOSS,GAME SUMMARY,2022-06-28T19:00:00.000+00:00
305,1019,79,65,LOSS,GAME SUMMARY,2022-06-28T03:00:00.000+00:00
352,1019,85,81,LOSS,GAME SUMMARY,2022-06-27T19:00:00.000+00:00
1519,103,75,73,LOSS,GAME SUMMARY,2022-07-21T19:00:00.000+00:00
728,103,68,71,WIN,GAME SUMMARY,2022-07-21T03:00:00.000+00:00
1767,103,76,67,LOSS,GAME SUMMARY,2022-07-20T19:00:00.000+00:00
1088,103,61,73,WIN,GAME SUMMARY,2022-07-20T03:00:00.000+00:00
103,1380,71,83,LOSS,GAME SUMMARY,2022-07-19T19:00:00.000+00:00
103,1958,79,76,WIN,GAME SUMMARY,2022-07-19T03:00:00.000+00:00
103,609,81,53,WIN,GAME SUMMARY,2022-07-18T19:00:00.000+00:00
103,1522,69,46,WIN,GAME SUMMARY,2022-07-17T17:00:00.000+00:00
103,1356,74,60,WIN,GAME SUMMARY,2022-07-16T19:00:00.000+00:00
103,1163,67,86,LOSS,GAME SUMMARY,2022-07-16T17:00:00.000+00:00
103,1169,81,77,WIN,GAME SUMMARY,2022-07-16T03:00:00.000+00:00
103,217,69,92,LOSS,GAME SUMMARY,2022-07-15T19:00:00.000+00:00
103,1781,75,82,LOSS,GAME SUMMARY,2022-07-15T03:00:00.000+00:00
103,1383,48,77,LOSS,GAME SUMMARY,2022-07-14T19:00:00.000+00:00
103,1522,80,57,WIN,GAME SUMMARY,2022-07-14T03:00:00.000+00:00
103,1356,87,80,WIN,GAME SUMMARY,2022-07-13T19:00:00.000+00:00
103,1163,90,72,WIN,GAME SUMMARY,2022-07-13T03:00:00.000+00:00
103,1169,72,82,LOSS,GAME SUMMARY,2022-07-12T19:00:00.000+00:00
103,217,84,83,WIN,GAME SUMMARY,2022-07-12T03:00:00.000+00:00
103,1781,83,77,WIN,GAME SUMMARY,2022-07-11T19:00:00.000+00:00
1201,103,62,83,WIN,GAME SUMMARY,2022-07-10T17:00:00.000+00:00
97,103,73,78,WIN,GAME SUMMARY,2022-07-09T17:00:00.000+00:00
1805,103,64,82,WIN,GAME SUMMARY,2022-07-09T03:00:00.000+00:00
1611,103,58,100,WIN,GAME SUMMARY,2022-07-08T19:00:00.000+00:00
103,1089,50,65,LOSS,GAME SUMMARY,2022-07-08T03:00:00.000+00:00
103,541,54,78,LOSS,GAME SUMMARY,2022-07-07T19:00:00.000+00:00
103,120,73,71,WIN,GAME SUMMARY,2022-07-07T03:00:00.000+00:00
1201,103,72,85,WIN,GAME SUMMARY,2022-07-06T19:00:00.000+00:00
97,103,83,57,LOSS,GAME SUMMARY,2022-07-06T03:00:00.000+00:00
