Power Rating,Team,Modeled Win %,Games,Win %,Avg Score Dff,Schedule Difficulty,Modeled vs Actual,% Games <= 5pt Loss
1,Great Lakes Lightning,0.8942553666517729,39,0.7948717948717948,11.948717948717949,0.6741249052667028,0.09938357177997803,0.05128205128205128
2,Smup 4,0.8801690823059004,42,0.7380952380952381,11.571428571428571,0.6503911828306441,0.14207384421066227,0.09523809523809523
3,[VBA] LeGameEngineer,0.860500102217633,32,0.71875,9.6875,0.6734517220001333,0.14175010221763296,0.15625
4,Boom,0.8555196664367872,43,0.7674418604651163,10.651162790697674,0.6266079235413528,0.08807780597167092,0.16279069767441862
5,JAPES 2,0.8547531326654001,7,1.0,18.714285714285715,0.5447604388123753,-0.1452468673345999,0.0
6,TeDeOhEm Nine,0.8483865539792401,42,0.7142857142857143,9.642857142857142,0.63566498587936,0.13410083969352582,0.047619047619047616
7,Smup 20,0.8422360162185658,42,0.7142857142857143,10.023809523809524,0.6199958208183012,0.1279503019328515,0.09523809523809523
8,[VBA] The Charles Barkys,0.83559281954328,38,0.7368421052631579,8.078947368421053,0.6655912212592878,0.09875071428012216,0.07894736842105263
9,SOL BROS,0.8350325263622023,44,0.7272727272727273,13.477272727272727,0.5071129804333319,0.10775979908947497,0.13636363636363635
10,PJH Thunder and Lightning,0.8343217984371549,39,0.6923076923076923,7.743589743589744,0.670583290466856,0.14201410612946264,0.15384615384615385
11,JAPES,0.8260625060783742,18,0.8333333333333334,10.11111111111111,0.6260886108889534,-0.0072708272549592,0.05555555555555555
12,Hoodlums,0.824167119931422,41,0.6829268292682927,8.268292682926829,0.6413204622280265,0.14124029066312926,0.17073170731707318
13,SHOHOKU,0.823735575129863,42,0.7142857142857143,7.119047619047619,0.6720327183128388,0.10944986084414865,0.09523809523809523
14,BBS Bucks,0.8231980462365504,19,0.7894736842105263,16.42105263157895,0.44151234952650004,0.033724362026024024,0.10526315789473684
15,ShadowSide,0.8202591084735641,30,0.7333333333333333,11.533333333333333,0.553110712506933,0.08692577514023081,0.03333333333333333
16,Smup 10,0.817828451557199,41,0.8048780487804879,10.682926829268293,0.5585664600870527,0.012950402776711112,0.12195121951219512
17,Grape Gaming,0.8135578470673005,42,0.7857142857142857,7.738095238095238,0.6366748060236695,0.0278435613530148,0.047619047619047616
18,GC Dream Team,0.8119263049925707,40,0.725,8.45,0.6189493850807323,0.0869263049925707,0.075
19,Detroit Blue Chips,0.807811365661019,35,0.7142857142857143,7.228571428571429,0.6450738820911935,0.09352565137530466,0.05714285714285714
20,Jae Rockets,0.8057888630301595,18,0.7222222222222222,12.5,0.5217366135249982,0.0835666408079373,0.05555555555555555
21,BBS Fireballs,0.8034039772612129,7,1.0,16.714285714285715,0.4853849574655171,-0.19659602273878707,0.0
22,qn77,0.8029979988084294,25,0.64,7.32,0.6477236757637366,0.16299799880842936,0.08
23,BTown Panthers,0.7994148531801253,18,0.7222222222222222,8.444444444444445,0.626534920006394,0.07719263095790307,0.0
24,Fluffy Samosas,0.7977379807084055,42,0.6666666666666666,6.0,0.6617648030018023,0.13107131404173888,0.09523809523809523
25,Golden Unicorns,0.7939078822572109,12,0.8333333333333334,13.25,0.50367538082726,-0.0394254510761225,0.08333333333333333
26,Beach Boys,0.7929884737780167,30,0.7666666666666667,8.4,0.5972075353230765,0.026321807111350015,0.06666666666666667
27,Hook and Rollins Group,0.7880794037884276,42,0.7380952380952381,6.523809523809524,0.6341482164602348,0.04998416569318942,0.023809523809523808
28,FaFaIV,0.7857584692241318,40,0.625,6.925,0.6155139582740672,0.16075846922413184,0.1
29,Off Meta,0.7848648736725801,41,0.6829268292682927,4.195121951219512,0.6939468080888749,0.10193804440428733,0.12195121951219512
30,turtur,0.7844751963904654,20,0.8,9.05,0.5837247108536315,-0.015524803609534676,0.1
31,PJH Trail Blazers,0.7841301917974803,36,0.6111111111111112,6.944444444444445,0.6280560744930228,0.17301908068636918,0.1111111111111111
32,Patron1,0.7837684088147844,43,0.6511627906976745,5.3023255813953485,0.663789947815721,0.1326056181171099,0.16279069767441862
33,Rox Collective,0.78240973148091,44,0.7272727272727273,10.522727272727273,0.5140062834539605,0.05513700420818268,0.09090909090909091
34,BTown Bison,0.7808607641787364,40,0.675,7.425,0.5980280069030995,0.10586076417873636,0.025
35,The Block Killers,0.7798782511628961,31,0.8387096774193549,10.290322580645162,0.5306669872772679,-0.05883142625645876,0.0967741935483871
36,BBS Rainbirds,0.7778072103998023,42,0.6428571428571429,4.5,0.6755412922108002,0.13495006754265937,0.07142857142857142
37,Great Lakes Thunder,0.7757370926672517,39,0.6153846153846154,4.948717948717949,0.6644135278696027,0.16035247728263624,0.1794871794871795
38,Smup 2,0.7749321397605833,42,0.5952380952380952,5.214285714285714,0.6526478783344318,0.17969404452248805,0.16666666666666666
39,11Rekt,0.7731425655765589,32,0.5625,5.8125,0.6406589508648516,0.21064256557655892,0.21875
40,Wellington Wolves,0.77240560601539,43,0.6511627906976745,6.348837209302325,0.6129987803487165,0.12124281531771552,0.06976744186046512
41,PatronOfficial,0.772074593612037,31,0.7419354838709677,10.64516129032258,0.5035334471965921,0.03013910974106926,0.12903225806451613
